country,Country_Name,IFS,income,Area,G20,Reference currency,EU,CEMAC,WAEMU ,ECCU,HARD PEG to USD,HARD PEG TO EURO,HARD PEG TO AUS DOLLAR,HARD PEG TO STH AFR RAND,HARD PEG TO INDIAN RUPEE,HARD PEG TO...,Managed,RESERVES POLICY
Taiwan Province of China,Taiwan Province of China,528,AE,APD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,Tajikistan,923,LIC,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Tanzania,Tanzania,738,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Thailand,Thailand,578,EM,APD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
"Timor-Leste, Democratic Republic of",Timor-Leste,537,LIC,APD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Togo,Togo,742,LIC,AFR,0,EUR,0,0,1,0,0,1,0,0,0,1,0,0
Tonga,Tonga,866,EM,APD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Trinidad and Tobago,Trinidad and Tobago,369,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Tunisia,Tunisia,744,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Turkiye,Turkiye,186,EM,EUR,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
Turkmenistan,Turkmenistan,925,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Tuvalu,Tuvalu,869,EM,APD,0,AUD,0,0,0,0,0,0,1,0,0,1,0,1
Uganda,Uganda,746,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Ukraine,Ukraine,926,EM,EUR,0,EUR,0,0,0,0,0,0,0,0,0,0,0,1
United Arab Emirates,UAE,466,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
United Kingdom,UK,112,AE,EUR,1,USD,0,0,0,0,0,0,0,0,0,0,0,0
United States,US,111,AE,WHD,1,USD,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,Uruguay,298,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Uzbekistan,Uzbekistan,927,LIC,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Vanuatu,Vanuatu,846,EM,APD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Venezuela,Venezuela,299,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Vietnam,Vietnam,582,LIC,APD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
"Yemen, Republic of",Yemen,474,LIC,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Zambia,Zambia,754,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Zimbabwe,Zimbabwe,698,LIC,AFR,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
